timestamp,age_group,gender,program_of_study,study_programme,study_hours_weekdays,study_hours_weekends,session_length,review_notes,attendance_rate,sleep_hours,screen_time,stress_level,motivation_level,time_management,learning_satisfaction,average_gpa,gpa_range,study_habit_effect,study_hours_weekdays_num,study_hours_weekends_num,sleep_hours_num,screen_time_num,attendance_rate_num,review_notes_num,stress_band,sleep_band
2025-10-12 19:02:14.497,23 - 26,Male,Agriculture ,Bsc,4 -5 hours,More than 5 hours,30–59 minutes,Often,75-89%,6-7,2-4 hours,4,3,3,4,3.0,3.0-3.49,"Yes, significantly",2.6066666666666665,9.5,6.5,3.0,0.82,3,Medium,Good
2025-10-12 19:30:54.820,18 - 22,Male,Data Science,Higher National Diploma,Less than 1 hour,I don’t study on weekends,30–59 minutes,Sometimes,<50%,4-5,4-6 hours,2,2,1,1,3.0,2.5-2.99,"Yes, significantly",0.5,,4.5,5.0,0.62,2,Low,Good
2025-10-12 19:32:45.598,23 - 26,Male,Computational mathematics ,Bsc,1 - 2 hours,2–3 hours,30–59 minutes,Sometimes,<50%,5-6,2-4 hours,3,3,3,3,3.0,3.0-3.49,"Yes, significantly",1.5,2.5,5.5,3.0,0.62,2,Medium,Good
2025-10-12 19:51:10.982,18 - 22,Female,Fashion Design,Bsc,Less than 1 hour,I don’t study on weekends,30–59 minutes,Sometimes,75-89%,6-7,4-6 hours,4,4,2,4,4.0,3.5-4.0,"Yes, significantly",0.5,,6.5,5.0,0.82,2,Medium,Good
2025-10-12 20:44:06.532,18 - 22,Male,Data Science,Higher National Diploma,1 - 2 hours,3–4 hours,<30 minutes,Sometimes,75-89%,8-9,4-6 hours,5,3,3,3,3.0,3.0-3.49,Somewhat,1.5,3.5,8.5,5.0,0.82,2,High,Good
2025-10-12 20:46:25.514,23 - 26,Male,Infromation Technology ,Bsc,More than 5 hours,4–5 hours,1–2 hours,Sometimes,<50%,7-8,6-8 hours,4,4,3,3,2.5443037974683542,2.5-2.99,Somewhat,2.6066666666666665,4.5,7.5,7.0,0.62,2,Medium,Good
2025-10-12 20:48:34.786,23 - 26,Female,ICT,Higher National Diploma,3 - 4 hours,4–5 hours,1–2 hours,Often,≥90%,6-7,4-6 hours,5,1,2,3,2.0,2.0-2.49,"Yes, significantly",3.5,4.5,6.5,5.0,0.95,3,High,Good
2025-10-12 20:50:05.412,23 - 26,Male,Data Science,Higher National Diploma,1 - 2 hours,2–3 hours,<30 minutes,Sometimes,≥90%,5-6,4-6 hours,3,3,3,3,3.0,3.0-3.49,"Yes, significantly",1.5,2.5,5.5,5.0,0.95,2,Medium,Good
2025-10-12 20:55:07.236,23 - 26,Male,Engineering ,Bsc,4 -5 hours,2–3 hours,<30 minutes,Often,75-89%,6-7,4-6 hours,3,3,4,4,4.0,3.0-3.49,Not really,2.6066666666666665,2.5,6.5,5.0,0.82,3,Medium,Good
2025-10-12 20:59:36.574,18 - 22,Male,Management ,Bsc,5 - 6 hours,2–3 hours,30–59 minutes,Sometimes,50–74%,6-7,6-8 hours,3,3,4,3,2.0,2.5-2.99,Somewhat,5.5,2.5,6.5,7.0,0.62,2,Medium,Good
2025-10-12 21:04:05.030,18 - 22,Female,Psychology,Bsc,2 - 3 hours,1–2 hours,30–59 minutes,Sometimes,75-89%,6-7,4-6 hours,4,2,3,2,2.5443037974683542,3.0-3.49,"Yes, significantly",2.5,1.5,6.5,5.0,0.82,2,Medium,Good
2025-10-12 21:10:40.729,18 - 22,Male,Data Science,Bsc,2 - 3 hours,3–4 hours,2 - 3 hours,Sometimes,75-89%,5-6,4-6 hours,2,3,3,2,2.0,3.0-3.49,Not really,2.5,3.5,5.5,5.0,0.82,2,Low,Good
2025-10-12 21:13:03.704,27 - 35,Male,Data Science,Higher National Diploma,4 -5 hours,2–3 hours,1–2 hours,Always,75-89%,5-6,2-4 hours,2,4,4,4,3.0,2.5-2.99,"Yes, significantly",2.6066666666666665,2.5,5.5,3.0,0.82,4,Low,Good
2025-10-12 21:21:45.973,18 - 22,Female,Data Science,Higher National Diploma,2 - 3 hours,Less than 1 hour,30–59 minutes,Sometimes,50–74%,5-6,4-6 hours,5,3,1,3,2.5443037974683542,3.0-3.49,Somewhat,2.5,0.5,5.5,5.0,0.62,2,High,Good
2025-10-12 21:37:36.416,18 - 22,Female,Fashion Design,Bachelor of design,4 -5 hours,3–4 hours,1–2 hours,Sometimes,75-89%,6-7,<2 hours,5,2,1,4,2.5443037974683542,3.0-3.49,"Yes, significantly",2.6066666666666665,3.5,6.5,0.5,0.82,2,High,Good
2025-10-12 21:43:42.504,18 - 22,Male,Psychology,Bsc,Less than 1 hour,Less than 1 hour,30–59 minutes,Sometimes,75-89%,6-7,4-6 hours,2,2,3,3,2.5443037974683542,3.0-3.49,Somewhat,0.5,0.5,6.5,5.0,0.82,2,Low,Good
2025-10-12 22:25:16.582,18 - 22,Female,Data Science,Advanced Diploma,More than 5 hours,2–3 hours,30–59 minutes,Sometimes,50–74%,7-8,<2 hours,3,2,3,4,2.5443037974683542,3.0-3.49,"Yes, significantly",2.6066666666666665,2.5,7.5,0.5,0.62,2,Medium,Good
2025-10-12 22:48:02.829,18 - 22,Female,Data Science,Advanced Diploma,1 - 2 hours,2–3 hours,30–59 minutes,Sometimes,75-89%,5-6,4-6 hours,3,4,2,4,2.5443037974683542,3.0-3.49,"Yes, significantly",1.5,2.5,5.5,5.0,0.82,2,Medium,Good
2025-10-13 03:25:59.889,23 - 26,Male,Information communication technology,Bsc,Less than 1 hour,I don’t study on weekends,<30 minutes,Never,50–74%,4-5,<2 hours,2,1,1,3,3.0,3.5-4.0,"Yes, significantly",0.5,,4.5,0.5,0.62,1,Low,Good
2025-10-13 08:31:36.310,23 - 26,Female,Data Science,Advanced Diploma,Less than 1 hour,I don’t study on weekends,<30 minutes,Never,75-89%,more than 9,more than 8 hours,5,1,1,1,1.0,2.5-2.99,"Yes, significantly",0.5,,9.5,9.5,0.82,1,High,Good
2025-10-13 09:24:06.518,18 - 22,Female,Environmental sciences ,Bsc,1 - 2 hours,2–3 hours,<30 minutes,Often,≥90%,6-7,2-4 hours,4,3,3,4,2.5443037974683542,3.0-3.49,"Yes, significantly",1.5,2.5,6.5,3.0,0.95,3,Medium,Good
2025-10-13 10:16:53.816,18 - 22,Male,Software Engineering,Bsc,3 - 4 hours,1–2 hours,30–59 minutes,Sometimes,75-89%,5-6,4-6 hours,3,4,4,4,2.5443037974683542,2.5-2.99,Somewhat,3.5,1.5,5.5,5.0,0.82,2,Medium,Good
2025-10-13 18:50:11.181,18 - 22,Female,Fashion Design,Advanced Diploma,5 - 6 hours,1–2 hours,<30 minutes,Sometimes,≥90%,6-7,<2 hours,2,3,3,2,2.0,2.5-2.99,Somewhat,5.5,1.5,6.5,0.5,0.95,2,Low,Good
2025-10-14 22:31:25.431,23 - 26,Male,Data Science,Higher National Diploma,5 - 6 hours,3–4 hours,30–59 minutes,Sometimes,≥90%,6-7,2-4 hours,3,2,4,4,2.0,2.5-2.99,"Yes, significantly",5.5,3.5,6.5,3.0,0.95,2,Medium,Good
